   LogDate,UserName                                                                                                                        ,             Sum(TotalIOCount),                Count(QueryID)
---------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------------ ------------------------------
2023/01/13,F5028698                                                                                                                        ,                       4701118,                           103
2023/01/09,SVC_OFCRCODES_PROD                                                                                                              ,                         42754,                            36
2023/01/09,SVC_COLLECTIONS_PROD                                                                                                            ,                      22352438,                          2503
2023/01/05,F4838874                                                                                                                        ,                        260811,                            24
2023/01/06,SVC_TERADATABI_PROD                                                                                                             ,                       5109207,                          1545
2023/01/15,SVC_DA_SSIS_PROD                                                                                                                ,                      19078824,                            16
2023/01/14,SVC_BUSINTELUNT                                                                                                                 ,                      97255236,                          3514
2023/01/17,SVC_CRO_SECM1_PROD                                                                                                              ,                    2642514835,                        313250
2023/01/13,F5330386                                                                                                                        ,                      11006601,                          4824
2023/01/18,F5295297                                                                                                                        ,                       7536522,                           339
2023/01/15,SVC_WASPFRMSA1_DEV                                                                                                              ,                     122311571,                           288
2023/01/09,F5511038                                                                                                                        ,                       1781797,                            14
2023/01/17,SVC_HDP_DQ_PROD                                                                                                                 ,                       9674249,                           547
2023/01/18,F5173000                                                                                                                        ,                       2282704,                            99
2023/01/13,SVC_BISYSACC                                                                                                                    ,                        648178,                            48
2023/01/10,F5035988                                                                                                                        ,                         36951,                            14
2023/01/17,SVC_HDP_DQ_QA                                                                                                                   ,                       7230772,                          1467
2023/01/12,SVC_ROCCDRCS_DR_PROD                                                                                                            ,                       3196553,                            88
2023/01/15,B4865960                                                                                                                        ,                       7367065,                           149
2023/01/08,SVC_WIM_FNB_DEV                                                                                                                 ,                       1930346,                           744
2023/01/06,SVC_BISYSACC                                                                                                                    ,                        635402,                            48
2023/01/10,F5384265                                                                                                                        ,                       3545589,                           626
2023/01/05,F2076276                                                                                                                        ,                      12523554,                           104
2023/01/16,SVC_PREMIERMIS                                                                                                                  ,                      11295891,                         19668
2023/01/17,SVC_TERA_CMCXBI_UAT                                                                                                             ,                            22,                             6
2023/01/18,F5440173                                                                                                                        ,                       3048866,                            93
2023/01/10,SVC_BIUBIW_MI6_UAT                                                                                                              ,                      15365620,                          1881
2023/01/04,SVC_ROCCDRCS_DR_PROD                                                                                                            ,                       3805423,                           140
2023/01/12,SVC_SMRTWX_QA                                                                                                                   ,                       6160935,                          6970
2023/01/18,F5173906                                                                                                                        ,                            96,                            36
2023/01/13,SVC_EDW_FID_PROD                                                                                                                ,                        316067,                           128
2023/01/07,SVC_LSFBUSBANKING                                                                                                               ,                     492871137,                         28768
2023/01/11,F5178916                                                                                                                        ,                       2435478,                            33
2023/01/11,F5318289                                                                                                                        ,                       6478692,                            36
2023/01/08,F5442060                                                                                                                        ,                     202084247,                          2348
2023/01/16,F2868229                                                                                                                        ,                        260904,                            32
2023/01/16,F5222826                                                                                                                        ,                       1838543,                           447
2023/01/12,F5292735                                                                                                                        ,                      16668021,                           476
2023/01/06,F5184371                                                                                                                        ,                       5671844,                            42
2023/01/10,F5090474                                                                                                                        ,                         36735,                             5
2023/01/16,F5151953                                                                                                                        ,                         59001,                            40
2023/01/18,F5141761                                                                                                                        ,                      18568608,                          2258
2023/01/17,SVC_FNBGTPROD                                                                                                                   ,                       6288695,                           277
2023/01/06,F5141761                                                                                                                        ,                       2996152,                          2187
2023/01/18,F5091217                                                                                                                        ,                       1910386,                           518
2023/01/05,F5508673                                                                                                                        ,                       3086910,                           105
2023/01/11,F5384486                                                                                                                        ,                       1024261,                           183
2023/01/09,F5169763                                                                                                                        ,                       4406139,                            55
2023/01/19,SVC_CRCARD_SAS_PROD                                                                                                             ,                        173386,                            64
2023/01/04,F5545315                                                                                                                        ,                      17166527,                            38
2023/01/05,FRG_ADMIN                                                                                                                       ,                     117022917,                          5556
2023/01/10,F5330971                                                                                                                        ,                      56207155,                          8028
2023/01/06,SVC_GMETLGL_PROD                                                                                                                ,                      42996191,                          7833
2023/01/04,F5328756                                                                                                                        ,                     102862572,                           105
2023/01/19,SVC_VBSBIPROD                                                                                                                   ,                             2,                             4
