   LogDate,UserName                                                                                                                        ,             Sum(TotalIOCount),                Count(QueryID)
---------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------------ ------------------------------
2023/01/13,F5028698                                                                                                                        ,                       4701118,                           103
2023/01/09,SVC_OFCRCODES_PROD                                                                                                              ,                         42754,                            36
2023/01/09,SVC_COLLECTIONS_PROD                                                                                                            ,                      22352438,                          2503
2023/01/05,F4838874                                                                                                                        ,                        260811,                            24
2023/01/06,SVC_TERADATABI_PROD                                                                                                             ,                       5109207,                          1545
2023/01/15,SVC_DA_SSIS_PROD                                                                                                                ,                      19078824,                            16
2023/01/14,SVC_BUSINTELUNT                                                                                                                 ,                      97255236,                          3514
2023/01/13,F4902017                                                                                                                        ,                            70,                           175
2023/01/13,F5330386                                                                                                                        ,                      11006601,                          4824
2023/01/03,F5183952                                                                                                                        ,                             8,                             8
2023/01/15,SVC_WASPFRMSA1_DEV                                                                                                              ,                     122311571,                           288
2023/01/09,F5511038                                                                                                                        ,                       1781797,                            14
2023/01/10,F5359821                                                                                                                        ,                         84681,                            28
2023/01/01,SVC_DIGIR_PROD                                                                                                                  ,                    1804863126,                         53771
2023/01/13,SVC_BISYSACC                                                                                                                    ,                        648178,                            48
2023/01/10,F5035988                                                                                                                        ,                         36951,                            14
2023/01/01,SVC_BIUBIW_SCRD_PROD                                                                                                            ,                        733142,                           373
2023/01/12,SVC_ROCCDRCS_DR_PROD                                                                                                            ,                       3196553,                            88
2023/01/15,B4865960                                                                                                                        ,                       7367065,                           149
2023/01/08,SVC_WIM_FNB_DEV                                                                                                                 ,                       1930346,                           744
2023/01/02,SVC_GMMARKETRISKPROD                                                                                                            ,                       4123705,                          3128
2023/01/10,F5384265                                                                                                                        ,                       3545589,                           626
2023/01/05,F2076276                                                                                                                        ,                      12523554,                           104
2023/01/04,F4838629                                                                                                                        ,                      18736630,                           313
2023/01/03,F5442583                                                                                                                        ,                       8327938,                         37527
2023/01/12,F5040345                                                                                                                        ,                       6517747,                          1526
2023/01/10,SVC_BIUBIW_MI6_UAT                                                                                                              ,                      15365620,                          1881
2023/01/04,SVC_ROCCDRCS_DR_PROD                                                                                                            ,                       3805423,                           140
2023/01/12,SVC_SMRTWX_QA                                                                                                                   ,                       6160935,                          6970
2023/01/06,SVC_DIGIFIN_PROD                                                                                                                ,                        960958,                            12
2023/01/13,SVC_EDW_FID_PROD                                                                                                                ,                        316067,                           128
2023/01/07,SVC_LSFBUSBANKING                                                                                                               ,                     492871137,                         28768
2023/01/11,F5178916                                                                                                                        ,                       2435478,                            33
2023/01/11,F5318289                                                                                                                        ,                       6478692,                            36
2023/01/08,F5442060                                                                                                                        ,                     202084247,                          2348
2023/01/12,F5525411                                                                                                                        ,                       7003197,                             7
2023/01/13,F5059135                                                                                                                        ,                       7196462,                            99
2023/01/12,F5292735                                                                                                                        ,                      16668021,                           476
2023/01/06,F5184371                                                                                                                        ,                       5671844,                            42
2023/01/10,F5090474                                                                                                                        ,                         36735,                             5
2023/01/08,SVC_GMETLPROD                                                                                                                   ,                     441621838,                         27569
2023/01/06,B5319196                                                                                                                        ,                       1654525,                           327
2023/01/11,M5388392                                                                                                                        ,                        114525,                            23
2023/01/06,F5141761                                                                                                                        ,                       2996152,                          2187
2023/01/13,F5361079                                                                                                                        ,                       5163762,                           160
2023/01/05,F5508673                                                                                                                        ,                       3086910,                           105
2023/01/01,SVC_FDW_ARCHIVE_PROD                                                                                                            ,                       6027807,                           185
2023/01/09,F5169763                                                                                                                        ,                       4406139,                            55
2023/01/01,SVC_TDABI_PROD                                                                                                                  ,                    2868529968,                        348376
2023/01/04,F5545315                                                                                                                        ,                      17166527,                            38
2023/01/05,FRG_ADMIN                                                                                                                       ,                     117022917,                          5556
2023/01/10,F5330971                                                                                                                        ,                      56207155,                          8028
2023/01/03,F5384486                                                                                                                        ,                      15210136,                          4489
2023/01/04,F5328756                                                                                                                        ,                     102862572,                           105
2023/01/11,SVC_FXPHCTRM_PROD                                                                                                               ,                        121610,                            86
